               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074398,            0.061671,                   0,             0.23367,             0.14628,            0.097682,             0.02164,            0.060328,            0.045836,                   0,             0.00249,             0.00249,             0.07759
                   1,            0.055981,            0.037348,                   0,              0.2733,             0.19149,              0.1463,            0.047382,            0.048657,            0.051731,                   0,           0.0045611,           0.0045611,            0.054661
                   2,            0.048176,            0.031659,                   0,             0.29043,             0.13825,             0.12312,            0.038933,            0.048499,            0.053334,                   0,            0.005161,            0.005161,            0.030261
                   3,            0.041941,            0.030347,                   0,             0.32554,             0.14628,             0.12368,             0.03851,            0.049316,            0.056139,                   0,           0.0041053,           0.0041053,           0.0042053
                   4,            0.035021,            0.029707,                   0,             0.34683,             0.19415,             0.17346,             0.07716,             0.04697,            0.054376,                   0,           0.0018594,           0.0018594,           0.0018594
