               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  16,            0.027432,            0.020608,                   0,             0.95728,             0.94304,             0.97927,             0.64715,            0.025401,            0.014658,                   0,            0.002318,            0.002318,            0.002318
                  17,            0.030567,            0.021826,                   0,                0.95,              0.9376,             0.97417,             0.62331,            0.026886,            0.015276,                   0,           0.0094434,           0.0094434,           0.0094434
                  18,            0.030061,            0.021626,                   0,             0.94017,             0.94338,             0.97499,             0.62775,            0.026747,            0.015147,                   0,           0.0093733,           0.0093733,           0.0093733
                  19,            0.029624,            0.021652,                   0,             0.93898,             0.94127,             0.97425,             0.62613,            0.026553,            0.015144,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,            0.029222,            0.021532,                   0,             0.94794,             0.94822,             0.97701,             0.63334,            0.026535,            0.014984,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.029289,             0.02148,                   0,             0.94391,             0.95272,             0.97875,             0.63762,            0.026308,            0.014909,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.028981,            0.021151,                   0,             0.94674,             0.94853,             0.97712,             0.63056,            0.026682,            0.015076,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,            0.028808,            0.021297,                   0,             0.94744,             0.94417,             0.97757,             0.63924,            0.026308,            0.014909,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.028533,            0.020977,                   0,             0.95076,             0.94762,             0.97774,             0.64087,            0.026275,            0.014929,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.028549,            0.020915,                   0,              0.9521,             0.94486,             0.97682,             0.63444,            0.026673,             0.01505,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.028425,            0.020885,                   0,             0.95098,             0.95216,             0.98016,             0.64232,             0.02606,            0.014914,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.028391,            0.020932,                   0,             0.95063,             0.95028,             0.98055,             0.64715,            0.025978,            0.014788,                   0,           0.0085805,           0.0085805,           0.0085805
