               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.027607,             0.02041,                   0,             0.95402,             0.94851,             0.98278,             0.66294,            0.024647,             0.01438,                   0,           0.0092611,           0.0092611,           0.0092611
                  39,            0.027605,            0.020331,                   0,             0.95614,             0.95046,             0.98292,             0.65948,            0.025226,            0.014402,                   0,           0.0092219,           0.0092219,           0.0092219
                  40,             0.02754,            0.020161,                   0,             0.95833,             0.95388,              0.9821,             0.66434,            0.024987,            0.014407,                   0,           0.0091817,           0.0091817,           0.0091817
                  41,            0.027633,            0.020251,                   0,             0.96109,             0.95126,             0.98369,             0.66231,            0.024568,            0.014454,                   0,           0.0091406,           0.0091406,           0.0091406
                  42,            0.027421,             0.02032,                   0,             0.95872,             0.95639,             0.98501,             0.66632,            0.024993,            0.014361,                   0,           0.0090986,           0.0090986,           0.0090986
                  43,            0.027094,            0.020196,                   0,             0.96272,             0.95247,             0.98408,             0.66695,            0.024741,            0.014269,                   0,           0.0090557,           0.0090557,           0.0090557
                  44,            0.027531,            0.020352,                   0,             0.96138,              0.9496,             0.98321,             0.66629,             0.02486,            0.014263,                   0,           0.0090119,           0.0090119,           0.0090119
                  45,             0.02725,            0.020084,                   0,             0.95983,              0.9564,             0.98487,             0.66846,            0.025034,             0.01423,                   0,           0.0089673,           0.0089673,           0.0089673
                  46,            0.027195,            0.020176,                   0,             0.95293,             0.95761,             0.98393,             0.66753,            0.024831,            0.014235,                   0,           0.0089218,           0.0089218,           0.0089218
                  47,             0.02715,            0.020164,                   0,             0.95604,              0.9561,             0.98435,             0.66803,            0.024952,            0.014258,                   0,           0.0088755,           0.0088755,           0.0088755
                  48,            0.027167,            0.019967,                   0,             0.95859,             0.95338,             0.98455,             0.67014,             0.02496,            0.014287,                   0,           0.0088283,           0.0088283,           0.0088283
                  49,            0.026908,            0.019999,                   0,              0.9573,               0.957,             0.98452,             0.67214,            0.024924,            0.014252,                   0,           0.0087804,           0.0087804,           0.0087804
                  50,            0.027105,            0.020085,                   0,             0.95571,             0.95489,             0.98423,             0.67041,            0.024862,            0.014223,                   0,           0.0087316,           0.0087316,           0.0087316
                  51,            0.027055,            0.019902,                   0,             0.95192,               0.965,             0.98539,             0.67049,              0.0247,            0.014141,                   0,            0.008682,            0.008682,            0.008682
                  52,            0.026854,            0.020009,                   0,              0.9581,              0.9564,             0.98439,             0.67311,            0.024665,            0.014147,                   0,           0.0086316,           0.0086316,           0.0086316
                  53,            0.027075,            0.019984,                   0,             0.95904,             0.95695,              0.9844,             0.67371,             0.02452,            0.014156,                   0,           0.0085805,           0.0085805,           0.0085805
                  54,            0.026579,            0.019796,                   0,             0.96105,             0.95609,             0.98297,             0.67433,             0.02441,            0.014109,                   0,           0.0085286,           0.0085286,           0.0085286
                  55,            0.026843,            0.019826,                   0,             0.95549,             0.96179,             0.98286,             0.67227,            0.024662,            0.014114,                   0,           0.0084759,           0.0084759,           0.0084759
                  56,            0.026559,            0.020031,                   0,             0.96041,             0.95486,             0.98288,             0.67222,            0.024558,            0.014146,                   0,           0.0084225,           0.0084225,           0.0084225
                  57,            0.026675,            0.020033,                   0,             0.95885,             0.95943,             0.98338,             0.67274,             0.02477,            0.014186,                   0,           0.0083684,           0.0083684,           0.0083684
                  58,            0.026683,            0.019854,                   0,             0.95915,              0.9597,             0.98404,             0.67433,            0.024807,            0.014199,                   0,           0.0083136,           0.0083136,           0.0083136
                  59,            0.026682,            0.019418,                   0,             0.96244,             0.95671,             0.98442,             0.67522,            0.024704,            0.014161,                   0,           0.0082581,           0.0082581,           0.0082581
                  60,            0.026509,            0.019978,                   0,             0.96272,             0.95389,             0.98416,             0.67425,            0.024641,            0.014187,                   0,           0.0082019,           0.0082019,           0.0082019
                  61,             0.02632,            0.019642,                   0,             0.96192,             0.95608,             0.98479,             0.67749,            0.024404,            0.014152,                   0,            0.008145,            0.008145,            0.008145
                  62,            0.026354,            0.019428,                   0,             0.96574,             0.94883,             0.98374,             0.67683,            0.024478,            0.014164,                   0,           0.0080875,           0.0080875,           0.0080875
                  63,            0.026162,            0.019489,                   0,             0.95813,              0.9561,             0.98485,             0.67646,            0.024324,            0.014173,                   0,           0.0080294,           0.0080294,           0.0080294
                  64,            0.026283,            0.019542,                   0,             0.95983,             0.95478,             0.98397,             0.67635,            0.024329,            0.014162,                   0,           0.0079706,           0.0079706,           0.0079706
                  65,            0.025965,            0.019534,                   0,             0.95895,             0.95792,             0.98318,              0.6777,            0.024387,            0.014144,                   0,           0.0079112,           0.0079112,           0.0079112
                  66,            0.026054,             0.01947,                   0,             0.95796,             0.96004,             0.98391,             0.67916,            0.024438,            0.014145,                   0,           0.0078512,           0.0078512,           0.0078512
                  67,            0.026116,            0.019441,                   0,             0.96074,             0.95761,             0.98383,             0.67785,            0.024565,             0.01413,                   0,           0.0077907,           0.0077907,           0.0077907
                  68,            0.026006,            0.019464,                   0,             0.95778,             0.96156,             0.98423,             0.67882,            0.024451,            0.014117,                   0,           0.0077296,           0.0077296,           0.0077296
                  69,            0.025999,            0.019453,                   0,             0.95361,             0.95883,             0.98316,             0.67894,             0.02439,            0.014112,                   0,           0.0076679,           0.0076679,           0.0076679
                  70,            0.026055,            0.019463,                   0,             0.95429,              0.9558,             0.98289,             0.67953,            0.024401,            0.014108,                   0,           0.0076057,           0.0076057,           0.0076057
                  71,            0.025978,            0.019281,                   0,             0.95881,             0.95151,             0.98222,             0.67974,            0.024351,            0.014112,                   0,            0.007543,            0.007543,            0.007543
                  72,            0.025985,            0.019303,                   0,              0.9631,             0.94819,              0.9829,             0.68162,            0.024318,            0.014097,                   0,           0.0074797,           0.0074797,           0.0074797
                  73,            0.025842,            0.019338,                   0,              0.9582,              0.9509,             0.98228,             0.68174,            0.024308,            0.014087,                   0,            0.007416,            0.007416,            0.007416
                  74,            0.025671,            0.019293,                   0,             0.94892,             0.96246,             0.98182,             0.67993,            0.024365,            0.014086,                   0,           0.0073518,           0.0073518,           0.0073518
                  75,            0.025704,            0.019295,                   0,             0.95088,             0.96123,             0.98203,             0.68072,            0.024333,            0.014082,                   0,           0.0072872,           0.0072872,           0.0072872
