               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057108,            0.038179,                   0,             0.92566,             0.85649,             0.92619,             0.47635,            0.030889,            0.019416,                   0,           0.0033309,           0.0033309,            0.070022
                   1,            0.041301,            0.026665,                   0,             0.92572,             0.87908,             0.93805,             0.48891,            0.030002,             0.01731,                   0,           0.0060915,           0.0060915,            0.039449
                   2,            0.037387,            0.024858,                   0,              0.9342,             0.90703,             0.95351,             0.53879,            0.027199,            0.017134,                   0,           0.0068889,           0.0068889,           0.0069135
                   3,            0.033339,            0.024069,                   0,             0.93196,              0.9125,             0.95795,             0.56409,            0.025752,            0.016329,                   0,           0.0041094,           0.0041094,           0.0041094
                   4,            0.032421,            0.023571,                   0,             0.93736,              0.9452,             0.97023,             0.58541,            0.025311,            0.015754,                   0,           0.0041094,           0.0041094,           0.0041094
