               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058549,            0.038187,                   0,              0.9086,             0.84274,             0.91492,             0.45557,            0.037549,            0.019665,                   0,           0.0033284,           0.0033284,            0.070044
                   1,            0.041928,            0.026516,                   0,             0.91823,             0.89161,             0.94504,              0.5072,            0.033046,            0.017496,                   0,           0.0066248,           0.0066248,            0.040007
                   2,            0.038597,            0.025016,                   0,             0.93987,             0.87546,             0.94483,             0.52388,            0.031951,            0.017835,                   0,           0.0097749,           0.0097749,           0.0098242
                   3,            0.036136,            0.024824,                   0,             0.92905,              0.9237,              0.9594,             0.55802,            0.029453,            0.016594,                   0,           0.0095095,           0.0095095,           0.0095095
                   4,            0.033794,            0.023998,                   0,             0.94043,             0.92794,              0.9669,              0.5755,            0.029035,            0.016207,                   0,           0.0095095,           0.0095095,           0.0095095
                   5,            0.032822,            0.023469,                   0,             0.94205,             0.93703,             0.97015,             0.58822,            0.028095,            0.015628,                   0,           0.0091406,           0.0091406,           0.0091406
                   6,            0.031913,            0.022927,                   0,             0.94291,             0.94003,              0.9705,             0.59638,            0.027982,             0.01567,                   0,            0.008682,            0.008682,            0.008682
                   7,            0.031224,            0.022734,                   0,             0.94757,             0.93854,             0.97413,             0.60578,            0.027434,            0.015541,                   0,            0.008145,            0.008145,            0.008145
                   8,            0.030668,            0.022243,                   0,             0.95636,             0.92249,             0.97373,             0.61287,            0.027933,            0.015413,                   0,            0.007543,            0.007543,            0.007543
                   9,            0.030211,             0.02194,                   0,              0.9507,              0.9343,             0.97371,             0.61606,             0.02718,            0.015244,                   0,           0.0068906,           0.0068906,           0.0068906
                  10,            0.029708,            0.021783,                   0,             0.94909,              0.9452,             0.97648,             0.62737,            0.026696,            0.015039,                   0,            0.006204,            0.006204,            0.006204
                  11,            0.029267,            0.021625,                   0,             0.94453,             0.94852,             0.97545,             0.62782,            0.026501,            0.015111,                   0,              0.0055,              0.0055,              0.0055
                  12,            0.028792,            0.021435,                   0,             0.95495,             0.93794,             0.97637,               0.635,            0.026143,             0.01487,                   0,            0.004796,            0.004796,            0.004796
                  13,            0.028528,            0.021196,                   0,             0.94658,             0.94611,             0.97769,             0.63798,            0.025891,            0.014823,                   0,           0.0041094,           0.0041094,           0.0041094
                  14,            0.028188,            0.020943,                   0,             0.95424,             0.94079,             0.97544,             0.64069,             0.02577,            0.014793,                   0,            0.003457,            0.003457,            0.003457
                  15,            0.027807,            0.020727,                   0,             0.94788,             0.95277,             0.97918,             0.64619,            0.025561,             0.01468,                   0,            0.002855,            0.002855,            0.002855
                  16,            0.027663,              0.0209,                   0,             0.94447,             0.95269,              0.9772,             0.64377,            0.025587,            0.014753,                   0,            0.002318,            0.002318,            0.002318
                  17,            0.027184,            0.020529,                   0,             0.94547,             0.95544,             0.97923,             0.65234,            0.025335,            0.014601,                   0,           0.0018594,           0.0018594,           0.0018594
                  18,            0.027119,            0.020516,                   0,             0.95098,             0.95151,              0.9792,             0.65447,            0.025331,            0.014629,                   0,           0.0014905,           0.0014905,           0.0014905
                  19,            0.026847,            0.020253,                   0,             0.94248,             0.96276,             0.97949,             0.65575,            0.025182,            0.014508,                   0,           0.0012202,           0.0012202,           0.0012202
