               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059246,            0.038466,                   0,             0.88758,             0.81592,             0.89232,             0.45353,            0.040927,             0.01982,                   0,           0.0033235,           0.0033235,            0.070088
                   1,            0.042355,            0.026406,                   0,             0.91944,             0.89842,             0.94704,             0.49915,            0.037916,            0.017458,                   0,           0.0060847,           0.0060847,            0.039516
                   2,            0.037128,            0.024637,                   0,             0.91937,             0.89737,             0.94671,             0.52831,            0.034664,            0.017261,                   0,           0.0068838,           0.0068838,           0.0069821
                   3,            0.032984,            0.023886,                   0,             0.94131,             0.91311,             0.95994,             0.57131,            0.032629,             0.01624,                   0,           0.0041094,           0.0041094,           0.0041094
                   4,             0.03199,            0.023359,                   0,             0.93644,             0.94157,             0.96764,             0.57684,            0.031834,            0.015974,                   0,           0.0041094,           0.0041094,           0.0041094
